Date/Time,City,Description,Temperature (°C),Feels Like (°C)
2025-08-17 05:16:41,Paris,clear sky,15.68,15.42
2025-08-17 05:19:31,Paris,clear sky,15.52,15.24
2025-08-17 05:20:30,Paris,clear sky,15.52,15.24
2025-08-17 05:24:21,Paris,clear sky,15.52,15.24
2025-08-17 05:25:28,Paris,clear sky,15.52,15.24
2025-08-17 12:26:14,Tokyo,overcast clouds,33.08,37.05
2025-08-17 12:26:34,Tokyo,overcast clouds,33.08,37.05
2025-08-17 12:27:20,Tokyo,overcast clouds,33.08,37.05
2025-08-17 12:28:53,Tokyo,overcast clouds,33.08,37.05
2025-08-17 12:29:55,Tokyo,overcast clouds,33.08,37.05
2025-08-17 12:30:26,Tokyo,overcast clouds,33.08,37.05
2025-08-17 06:30:50,Nairobi,scattered clouds,15.19,14.98
2025-08-17 05:31:46,Madrid,clear sky,24.2,23.46
